ticker,date,open,high,low,close
MED,2022-05-14,0.0253917,0.0291786,0.0247529,0.0259111
MED,2022-05-15,0.0261633,0.026648,0.0254044,0.026648
MED,2022-05-16,0.0278465,0.0314422,0.0277622,0.0288924
MED,2022-05-17,0.0290293,0.0290293,0.0274143,0.0285058
MED,2022-05-18,0.0290151,0.0290151,0.0256566,0.0263557
MED,2022-05-19,0.0262458,0.0268158,0.0243483,0.0263563
MED,2022-05-20,0.0269276,0.0270583,0.0255193,0.0260787
MED,2022-05-21,0.0261186,0.0267325,0.0258589,0.0267325
MED,2022-05-22,0.0274643,0.0283431,0.0271946,0.0281162
MED,2022-05-23,0.0282988,0.030989,0.0276795,0.0282233
MED,2022-05-24,0.0270202,0.0288782,0.0261885,0.0274543
MED,2022-05-25,0.0277567,0.0280191,0.0269876,0.0274071
MED,2022-05-26,0.0276096,0.0276096,0.0261376,0.0266623
MED,2022-05-27,0.027023,0.027023,0.0265627,0.0265794
MED,2022-05-28,0.0262501,0.0265464,0.0261484,0.0262945
MED,2022-05-29,0.0264161,0.0267346,0.0261915,0.0266214
MED,2022-05-30,0.0266369,0.0289747,0.0266369,0.0288858
MED,2022-05-31,0.0288688,0.0297942,0.0277558,0.0285811
MED,2022-06-01,0.0285122,0.0301429,0.0271525,0.0271525
MED,2022-06-02,0.0270646,0.0287241,0.0269957,0.0284893
MED,2022-06-03,0.0286971,0.0298986,0.0272682,0.0281628
MED,2022-06-04,0.0280506,0.0282934,0.0277175,0.0280387
MED,2022-06-05,0.0281267,0.0288626,0.0279286,0.0288626
MED,2022-06-06,0.0287395,0.0300054,0.0287395,0.0292601
MED,2022-06-07,0.0293893,0.0295462,0.0275056,0.0281392
MED,2022-06-08,0.0287561,0.0287561,0.0276043,0.0280849
MED,2022-06-09,0.0280558,0.0280558,0.0275942,0.0277764
MED,2022-06-10,0.0264746,0.0265553,0.021762,0.0255997
MED,2022-06-11,0.0260311,0.0261502,0.0254507,0.0254507
MED,2022-06-12,0.0244062,0.0245867,0.0229308,0.0233199
MED,2022-06-13,0.0223727,0.0223727,0.0184523,0.018974
MED,2022-06-14,0.0187604,0.0190523,0.0165731,0.0180585
MED,2022-06-15,0.017949,0.019029,0.01718,0.0190271
MED,2022-06-16,0.0197034,0.0205324,0.01903,0.0196265
MED,2022-06-17,0.018811,0.0197645,0.018811,0.0197645
MED,2022-06-18,0.0209271,0.0239587,0.0190197,0.020196
MED,2022-06-19,0.020199,0.0207331,0.0189466,0.020708
MED,2022-06-20,0.0209708,0.0218216,0.0202856,0.0210508
MED,2022-06-21,0.0212106,0.022163,0.0210847,0.022163
MED,2022-06-22,0.0216713,0.0217552,0.0209779,0.0210268
MED,2022-06-23,0.0212676,0.0215784,0.0210799,0.0214845
MED,2022-06-24,0.0215864,0.0221646,0.0215864,0.0221646
MED,2022-06-25,0.0222687,0.0222723,0.0215669,0.0218157
MED,2022-06-26,0.0218172,0.022025,0.0217478,0.0218414
MED,2022-06-27,0.0216293,0.0221445,0.0214664,0.0219185
MED,2022-06-28,0.0220373,0.0221461,0.021549,0.0217919
MED,2022-06-29,0.0210091,0.0211751,0.0202795,0.0203643
MED,2022-06-30,0.0191886,0.0201446,0.0185188,0.0189757
MED,2022-07-01,0.020832,0.0212964,0.0202117,0.0205004
MED,2022-07-02,0.0203246,0.0208121,0.0201398,0.0205763
MED,2022-07-03,0.020812,0.0211426,0.0205003,0.0209168
MED,2022-07-04,0.0208329,0.0208329,0.0199181,0.0206752
MED,2022-07-05,0.020833,0.0210207,0.019978,0.0205524
MED,2022-07-06,0.0205753,0.0207032,0.0202077,0.0204415
