,symbol,shortName,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,trailingPegRatio,address2,industrySymbol
60,BAC,Bank of America Corporation,217000.0,2.0,7.0,9.0,1.0,6.0,1682899200.0,1672444800.0,86400,2.0,28.26,28.1,27.4847,28.16,28.26,28.1,27.4847,28.16,0.88,0.0311,1685577600.0,0.2613,2.19,1.378254,8.273273,8.199405,20161394.0,20161394.0,64680661.0,47484110.0,47484110.0,0.0,0.0,39400.0,800.0,219550072832.0,26.32,38.6,2.3223965,28.3666,32.7055,0.87,0.030785562,66003718144.0,0.30276,7938232506.0,7969149952.0,82466254.0,92565820.0,1681430400.0,1684108800.0,0.010299999,0.0011,0.71623003,1.63,0.0119,0.0,31.584,0.8722771,1672444800.0,1703980800.0,1680220800.0,0.155,27071000576.0,3.33,3.36,2.46,2:1,1093824000.0,0.698,,-0.22934276,0.02542901,0.22,1677715200.0,-14400000.0,27.55,47.0,28.0,36.4,35.1,2.4,22.0,893122969600.0,112.073,,705122992128.0,,,94535999488.0,,11.677,0.0089,0.10469,92407000000.0,,27803000832.0,0.175,0.092,0.0,0.0,0.34039003,4.1895,100 North Tryon Street,
61,BBWI,"Bath & Body Works, Inc.",8800.0,7.0,9.0,5.0,4.0,6.0,1685404800.0,1672444800.0,86400,2.0,36.29,35.97,34.52,36.2037,36.29,35.97,34.52,36.2037,0.8,0.022,1685577600.0,0.2577,,1.689655,11.334426,9.6564245,1181600.0,1181600.0,3473015.0,4446060.0,4446060.0,0.0,0.0,900.0,800.0,7914836480.0,25.75,49.55,1.0544679,35.451,38.37245,0.8,0.02204464,13278699520.0,0.09672,195490800.0,228951008.0,8688341.0,8735238.0,1681430400.0,1684108800.0,0.0379,0.026029998,0.97382003,2.56,0.0427,0.0,-9.435,,1674864000.0,1706400000.0,1682726400.0,-0.477,720000000.0,3.05,3.58,1.59,1237:1000,1627948800.0,1.769,8.806,-0.08289111,0.02542901,0.2,1676505600.0,-14400000.0,34.57,68.0,37.0,47.76,48.0,2.3,17.0,1046000000.0,4.548,1508000000.0,5977999872.0,0.933,1.629,7505999872.0,,32.813,0.15614,,3255000000.0,613625024.0,1122000000.0,-0.453,-0.037,0.42393002,0.2009,0.17013,1.0956,,
62,BAX,Baxter International Inc.,60000.0,5.0,7.0,9.0,1.0,6.0,1682899200.0,1672444800.0,86400,2.0,40.33,40.21,39.92,40.3,40.33,40.21,39.92,40.3,1.16,0.028099999,1685577600.0,,1.33,0.564743,,12.076577,1678357.0,1678357.0,5815085.0,4337020.0,4337020.0,0.0,0.0,1100.0,900.0,20342757376.0,37.35,76.48,1.3512293,42.7878,48.91585,1.16,0.028762706,36164550656.0,-0.1634,504099841.0,505849984.0,5707310.0,7317724.0,1681430400.0,1684108800.0,0.0113,0.00243,0.83986,0.94,0.0125,0.0,11.622,3.460248,1672444800.0,1703980800.0,1680220800.0,-0.38,-2460000000.0,-4.88,3.33,7.04,1841:1000,1435708800.0,2.402,11.689,-0.45843965,0.02542901,0.29,1677110400.0,-14400000.0,40.215,58.0,45.0,50.71,50.5,2.6,14.0,1672999936.0,3.307,3094000128.0,16888999936.0,0.906,1.701,15054999552.0,284.279,29.841,0.0359,-0.32523,6031000000.0,1168249984.0,1482000000.0,-0.378,-0.016,0.39044,0.20551,0.11637,2.8903,,
63,BDX,"Becton, Dickinson and Company",77000.0,9.0,9.0,10.0,9.0,10.0,1682899200.0,1672444800.0,86400,2.0,238.39,238.5,237.62,240.695,238.39,238.5,237.62,240.695,3.64,0.0150999995,1686182400.0,0.65440005,1.3,0.564743,44.13578,17.634897,466212.0,466212.0,1048700.0,1068310.0,1068310.0,0.0,0.0,800.0,1000.0,68316966912.0,215.9,269.06,3.6321425,251.268,245.04515,3.56,0.014933513,84720672768.0,0.08597,283390072.0,284015008.0,2558994.0,2126954.0,1681430400.0,1684108800.0,0.009,0.0035299999,0.89747,2.2,0.009,0.0,90.442,2.659605,1664496000.0,1696032000.0,1680220800.0,0.013,1556000000.0,5.45,13.64,1.98,1025:1000,1648771200.0,4.504,17.632,-0.051750183,0.02542901,0.91,1678320000.0,-14400000.0,240.54,304.0,260.0,286.15,290.0,2.1,13.0,1987000064.0,6.996,4805000192.0,18224001024.0,0.602,1.313,18808999936.0,70.941,66.097,0.02908,0.065560006,8614000000.0,1756125056.0,2100999936.0,0.018,0.015,0.45701998,0.25546,0.13504,2.4258,,
64,WRB,W.R. Berkley Corporation,8186.0,4.0,10.0,6.0,1.0,6.0,1682899200.0,1672444800.0,86400,2.0,56.83,56.5,55.941,56.77,56.83,56.5,55.941,56.77,0.4,0.0070999996,1678233600.0,0.1031,0.66,0.616115,14.467783,10.024107,390806.0,390806.0,1856941.0,1915140.0,1915140.0,0.0,0.0,800.0,1100.0,14638604288.0,55.5,76.99,1.3133395,59.9222,67.04975,0.4,0.007038536,15848505344.0,0.09729999,204452569.0,260775008.0,3035.0,2495844.0,1681430400.0,1684108800.0,0.0,0.24077,0.70612997,0.0,0.0,0.0,26.45,2.122306,1672444800.0,1703980800.0,1680220800.0,-0.502,1084550016.0,3.88,5.6,1.35,3:2,1648080000.0,1.422,10.606,-0.19583982,0.02542901,0.1,1678233600.0,-14400000.0,56.135,84.0,67.0,75.55,76.0,2.0,11.0,1851357952.0,7.099,1494269952.0,3035757056.0,0.233,0.411,11146093568.0,43.582,40.325,0.0273,0.15702,4811560000.0,2083190528.0,2536244992.0,-0.5,-0.007,0.40945,0.13406,0.13038999,2.3909,,
65,BRK.B,,,,,,,,,,86400,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,BBY,"Best Buy Co., Inc.",52200.0,3.0,1.0,3.0,2.0,1.0,1682899200.0,1703980800.0,86400,2.0,73.4,72.63,71.83,73.295,73.4,72.63,71.83,73.295,3.68,0.0495,1686700800.0,0.6024,2.86,1.521111,12.233503,10.524018,788456.0,788456.0,2494144.0,3334400.0,3334400.0,0.0,0.0,1000.0,800.0,15809625088.0,60.79,93.32,0.35040614,73.565,76.2542,3.56,0.04850136,19163836416.0,0.0293,195225965.0,218667008.0,11369842.0,10412089.0,1681430400.0,1684108800.0,0.051999997,0.109840006,0.8215,6.23,0.0673,0.0,12.759,5.666589,1674864000.0,1706400000.0,1682726400.0,-0.284,1322000000.0,5.91,6.87,3.56,3:2,1123113600.0,0.425,7.066,-0.08341658,0.02542901,0.92,1679443200.0,-14400000.0,72.3,110.0,62.0,79.27,78.0,3.0,23.0,1030000000.0,4.705,2712000000.0,3923000064.0,0.239,0.982,45118001152.0,140.458,202.482,0.07436,0.47554,9912000000.0,1463500032.0,2876999936.0,-0.255,-0.111,0.21519,0.060110003,0.039470002,1.9595,,
67,BIO,"Bio-Rad Laboratories, Inc.",8200.0,10.0,10.0,8.0,10.0,10.0,1682899200.0,1672444800.0,86400,2.0,379.76,378.1,367.65,379.04,379.76,378.1,367.65,379.04,,,,0.0,,0.906052,,23.113054,106410.0,106410.0,190974.0,247730.0,247730.0,0.0,0.0,800.0,800.0,10931351552.0,344.63,572.7,3.933512,435.6288,441.3087,0.0,0.0,10752160768.0,-0.06881,21093916.0,24536300.0,291145.0,274418.0,1681430400.0,1684108800.0,0.0098,0.14528,0.79704005,1.35,0.0137,0.0,329.76,1.1221495,1672444800.0,1703980800.0,1680220800.0,,-191226000.0,-7.09,16.01,1.55,2:1,1015545600.0,3.869,19.355,-0.28047138,0.02542901,,,-14400000.0,370.04,605.0,525.0,569.2,580.0,1.7,5.0,1851453056.0,62.53,555521024.0,1381713024.0,4.01,5.558,2779031040.0,14.152,93.568,0.018550001,-0.019170001,1568430000.0,103604248.0,242024992.0,,-0.033,0.55002,0.1999,0.1497,,,
68,TECH,Bio-Techne Corp,3000.0,9.0,6.0,9.0,1.0,7.0,1682899200.0,1672444800.0,86400,2.0,83.18,82.58,79.51,82.64,83.18,82.58,79.51,82.64,0.32,0.0038,1683849600.0,0.1908,0.5,1.254046,47.89881,33.39004,233469.0,233469.0,1050111.0,860700.0,860700.0,80.49,80.52,800.0,800.0,12668954624.0,68.0025,99.335,11.275225,79.537,79.50552,0.32,0.0038470784,13462745088.0,0.24146,155970814.0,157436992.0,3004062.0,3747944.0,1681430400.0,1684108800.0,0.0191,0.00892,0.96507,2.48,0.0247,0.0,12.01,6.7002497,1656547200.0,1688083200.0,1680220800.0,0.156,271224992.0,1.68,2.41,3.9,4:1,1669766400.0,11.982,39.103,-0.07564938,0.02542901,0.08,1683849600.0,-14400000.0,80.47,120.0,88.0,101.07,100.0,1.8,13.0,157196992.0,0.998,344287008.0,473990016.0,2.647,4.045,1123609984.0,25.083,7.157,0.071100004,0.15090999,758092000.0,225200000.0,273716992.0,0.162,0.013,0.68161005,0.30641,0.24805,,,
69,BIIB,Biogen Inc.,8725.0,9.0,5.0,9.0,2.0,7.0,1682899200.0,1672444800.0,86400,2.0,298.69,298.69,294.805,299.58,298.69,298.69,294.805,299.58,,,,0.0,,0.187895,13.723483,18.166157,200853.0,200853.0,906126.0,736390.0,736390.0,296.19,296.51,800.0,800.0,42885607424.0,188.54,319.74,4.244167,292.919,271.358,0.0,0.0,44787535872.0,0.30986,144318210.0,144742000.0,2962015.0,2001534.0,1681430400.0,1684108800.0,0.020499999,0.0068699997,0.89898,2.62,0.0231,0.0,95.28,3.1096768,1672444800.0,1703980800.0,1680220800.0,0.277,3131000064.0,21.59,16.31,7.7,3:1,979776000.0,4.432,13.26,0.49345005,0.02542901,,,-14400000.0,296.29,398.0,263.0,332.26,340.0,2.1,27.0,5041299968.0,34.829,3377600000.0,6609699840.0,2.613,3.238,10104599552.0,47.941,69.868,0.07493,0.25038,7895100000.0,1669275008.0,1677799936.0,0.296,-0.027,0.78353995,0.33426,0.28601,3.2404,,
70,BLK,"BlackRock, Inc.",19500.0,4.0,5.0,5.0,1.0,2.0,1685404800.0,1672444800.0,86400,2.0,673.58,671.8,656.825,674.61,673.58,671.8,656.825,674.61,20.0,0.0297,1686096000.0,0.6088,2.47,1.289232,20.360355,16.342997,219863.0,219863.0,648666.0,680640.0,680640.0,0.0,0.0,1000.0,900.0,98368086016.0,503.12,785.65,5.64782,659.9816,676.90497,19.64,0.029157633,105265127424.0,0.28128,140245238.0,149763008.0,2186544.0,2156536.0,1681430400.0,1684108800.0,0.0146,0.010249999,0.86443,3.96,0.0147,0.0,251.573,2.6108725,1672444800.0,1703980800.0,1680220800.0,-0.194,4898999808.0,32.26,40.19,1.94,,,6.044,16.007,0.019787788,0.02542901,5.0,1678060800.0,-14400000.0,656.825,920.0,542.0,760.29,765.0,2.0,14.0,5456999936.0,36.438,6576000000.0,8492000256.0,1.042,1.816,17417000960.0,21.738,115.754,0.02905,0.1232,8787000000.0,4334374912.0,4984000000.0,-0.183,-0.097,0.48716998,0.37756002,0.35322,2.5689,,
71,BK,The Bank of New York Mellon Cor,51600.0,4.0,1.0,2.0,2.0,1.0,1682899200.0,1672444800.0,86400,2.0,40.69,40.29,39.9,40.53,40.69,40.29,39.9,40.53,1.48,0.0363,1682553600.0,0.4589,2.71,1.056298,12.66614,7.7268343,1211748.0,1211748.0,5646080.0,3978420.0,3978420.0,0.0,0.0,1100.0,1800.0,31585089536.0,36.22,52.26,1.885677,42.8908,44.4995,1.45,0.035635293,-47370121216.0,0.16573,787650240.0,789134016.0,5992855.0,5520700.0,1681430400.0,1684108800.0,0.0076,0.00145,0.88187,1.04,0.0076,0.0,45.361,0.88236594,1672444800.0,1703980800.0,1680220800.0,0.263,2568000000.0,3.16,5.18,1.16,9434:10000,1183334400.0,-2.828,,-0.10865277,0.02542901,0.37,1682553600.0,-14400000.0,40.025,62.0,41.0,53.2,54.0,2.2,15.0,169777004544.0,215.143,,85219999744.0,,,16750000128.0,,20.691,0.00617,0.066810004,16338000000.0,,13431000064.0,0.302,0.105,0.0,0.0,0.26209,0.5088,,
72,BA,Boeing Company (The),156000.0,9.0,3.0,8.0,5.0,7.0,1685404800.0,1672444800.0,86400,2.0,204.69,203.5,200.92,204.16,204.69,203.5,200.92,204.16,,,1581552000.0,0.0,,1.427867,,37.992508,1588290.0,1588290.0,5403568.0,4107380.0,4107380.0,0.0,0.0,1000.0,1000.0,122051387392.0,113.02,221.33,1.7302927,204.878,183.6271,0.0,0.0,163788177408.0,-0.05855,556720647.0,601593984.0,7699206.0,8236120.0,1681430400.0,1684108800.0,0.0128,0.00088,0.59404,1.6,0.0128,0.0,-25.792,,1672444800.0,1703980800.0,1680220800.0,,-4129999872.0,-6.96,5.34,-1.63,2:1,865814400.0,2.322,80.092,0.566705,0.02542901,2.055,1581552000.0,-14400000.0,202.88,291.0,180.0,235.43,238.5,2.1,24.0,14766999552.0,24.546,2044999936.0,55390998528.0,0.294,1.164,70538002432.0,,117.976,0.00044,,5768000000.0,7129750016.0,6409999872.0,,0.281,0.096829996,0.028989999,0.00135,,,
73,BKNG,Booking Holdings Inc. Common St,22400.0,2.0,1.0,10.0,2.0,7.0,1682899200.0,1672444800.0,86400,2.0,2528.77,2516.77,2456.93,2523.04,2528.77,2516.77,2456.93,2523.04,,,,0.0,,1.330049,24.733847,15.175661,184627.0,184627.0,321079.0,337790.0,337790.0,2475.42,2483.03,1100.0,800.0,91607023616.0,1616.85,2786.85,5.040831,2626.158,2214.4214,0.0,0.0,93865893888.0,0.22143,36833192.0,36933700.0,667068.0,714448.0,1681430400.0,1684108800.0,0.018099999,0.0016300001,0.97806,2.13,0.018099999,0.0,28.861,85.93985,1672444800.0,1703980800.0,1680220800.0,,4024000000.0,100.28,163.44,0.74,1:6,1055721600.0,5.165,16.75,0.12963629,0.02542901,,,-14400000.0,2480.31,3430.0,2100.0,2873.8,2925.0,2.3,25.0,14499000320.0,392.569,5603999744.0,12664999936.0,1.495,1.593,18172999680.0,1179.236,465.413,0.13510999,1.4775101,14625000000.0,6826874880.0,7747999744.0,,0.402,0.85743,0.30837,0.28305998,0.7849,,
74,BWA,BorgWarner Inc.,52700.0,7.0,3.0,6.0,1.0,2.0,1682899200.0,1672444800.0,86400,2.0,46.54,45.9,44.15,46.03,46.54,45.9,44.15,46.03,0.68,0.014400001,1685491200.0,0.1667,1.71,1.411681,10.849265,7.553754,1426375.0,1426375.0,2135182.0,2417590.0,2417590.0,46.81,47.47,800.0,900.0,10374520832.0,31.14,51.14,0.6441001,46.8826,42.5636,0.68,0.014611087,14785390592.0,0.059660003,232791333.0,234372992.0,6888722.0,6563757.0,1681430400.0,1684108800.0,0.0294,0.00441,0.97586,3.11,0.033299997,0.0,31.748,1.3942611,1672444800.0,1703980800.0,1680220800.0,0.085,961000000.0,4.08,5.86,0.7,2:1,1387238400.0,0.918,6.612,0.16425717,0.02542901,0.17,1677542400.0,-14400000.0,44.265,60.0,42.0,53.86,55.0,2.3,14.0,950000000.0,4.053,2236000000.0,4441999872.0,1.092,1.593,16106999808.0,57.846,68.789,0.05593,0.13744001,3101000000.0,641625024.0,1440999936.0,0.108,0.079,0.19252001,0.13881999,0.09387,0.707,,
75,BXP,"Boston Properties, Inc.",780.0,9.0,7.0,6.0,8.0,8.0,1682899200.0,1672444800.0,86400,2.0,48.98,48.74,48.205,49.245,48.98,48.74,48.205,49.245,3.92,0.08,1680134400.0,0.78559995,3.76,1.091484,9.6994,22.93839,401297.0,401297.0,1953744.0,1500240.0,1500240.0,47.3,50.73,1000.0,800.0,7590814720.0,46.18,111.62,2.4267256,51.1056,67.119,3.92,0.08003267,24170985472.0,0.25057,156333614.0,156835008.0,8633437.0,7885195.0,1681430400.0,1684108800.0,0.055,0.00183,0.99534,5.32,0.0752,0.0,38.658,1.2520047,1672444800.0,1703980800.0,1680220800.0,-0.455,782899008.0,4.99,2.11,2.92,,,7.727,13.378,-0.54719424,0.02542901,0.98,1680134400.0,-14400000.0,48.4,86.0,52.0,63.82,58.0,2.6,17.0,918952000.0,5.859,1806772992.0,15164437504.0,1.229,1.37,3128006912.0,182.561,19.954,0.02725,0.11613,1952127000.0,1203621248.0,1296919040.0,-0.454,0.05,0.62844,0.57761,0.32821998,,800 Boylston Street Suite 1900,
76,BSX,Boston Scientific Corporation,45000.0,7.0,9.0,7.0,8.0,8.0,1682899200.0,1672444800.0,86400,2.0,50.49,50.46,50.1,51.125,50.49,50.46,50.1,51.125,,,,0.0,,0.797325,87.974144,23.088236,3789677.0,3789677.0,9222930.0,8689490.0,8689490.0,0.0,0.0,800.0,1400.0,73358639104.0,34.98,54.17,5.623506,51.3488,45.81965,0.0,0.0,82462867456.0,0.06915,1433586284.0,1437699968.0,16051683.0,15441244.0,1681430400.0,1684108800.0,0.0112,0.0026699998,0.93964,1.46,0.0112,0.0,12.417,4.109286,1672444800.0,1703980800.0,1680220800.0,1.855,846000000.0,0.58,2.21,2.13,2:1,1068076800.0,6.321,25.133,0.26477957,0.02542901,,,-14400000.0,51.025,63.0,55.0,58.4,58.0,1.8,27.0,570000000.0,0.396,3280999936.0,9365000192.0,0.648,1.397,13045000192.0,51.715,9.106,0.04089,0.05177,8679000000.0,1167750016.0,1774000000.0,2.108,0.12,0.6867,0.25151,0.16359,2.2673,,
77,BMY,Bristol-Myers Squibb Company,34300.0,8.0,5.0,1.0,3.0,2.0,1685404800.0,1672444800.0,86400,2.0,63.71,63.69,63.17,64.555,63.71,63.69,63.17,64.555,2.28,0.0358,1680739200.0,0.6472,3.01,0.431738,18.747812,7.899877,2405413.0,2405413.0,7981680.0,8600030.0,8600030.0,0.0,0.0,1100.0,800.0,135095164928.0,63.07,81.44,2.946588,68.1324,71.7094,2.22,0.034845393,164022976512.0,0.15946001,2098473181.0,2100850048.0,21489068.0,17875536.0,1681430400.0,1684108800.0,0.010199999,0.00071000005,0.78619003,2.68,0.010199999,0.0,15.154,4.243434,1672444800.0,1703980800.0,1680220800.0,0.77,7311000064.0,3.43,8.14,2.11,1000000:951777,997142400.0,3.578,8.361,-0.15008003,0.02542901,0.57,1680739200.0,-14400000.0,64.305,92.0,59.0,79.7,80.5,2.4,20.0,9269000192.0,4.412,19618000896.0,39385001984.0,1.188,1.419,45847998464.0,123.518,21.644,0.060399998,0.23072,36378000000.0,12602375168.0,12224000000.0,0.814,-0.027,0.78463995,0.42789,0.20797001,,14th Floor,
78,AVGO,Broadcom Inc.,20000.0,3.0,7.0,9.0,3.0,6.0,1685404800.0,1672444800.0,86400,2.0,803.34,794.9,790.13,819.9899,803.34,794.9,790.13,819.9899,18.4,0.0229,1679356800.0,0.5695,3.15,1.117874,27.546728,18.65825,2481685.0,2481685.0,2426101.0,4139590.0,4139590.0,813.18,813.53,800.0,900.0,340412170240.0,415.07,921.78,9.892252,643.588,562.5511,17.4,0.02165957,361680470016.0,0.37188,410661471.0,416924000.0,6559659.0,5398020.0,1681430400.0,1684108800.0,0.015700001,0.0227,0.83994,3.72,0.0202,0.0,55.899,14.606433,1667088000.0,1698624000.0,1674950400.0,0.527,12599000064.0,29.64,43.76,2.35,,,10.51,18.08,0.4004742,0.02542901,4.6,1679356800.0,-14400000.0,816.485,925.0,584.0,722.22,700.0,2.0,23.0,12647000064.0,30.334,20004999168.0,39395999744.0,2.122,2.517,34411999232.0,169.009,83.829,0.13059,0.55274,24947000000.0,13501249536.0,17286000640.0,0.574,0.157,0.74704003,0.58134,0.44386002,1.1612,,
79,BR,"Broadridge Financial Solutions,",14300.0,1.0,6.0,5.0,7.0,4.0,1682899200.0,1672444800.0,86400,2.0,147.79,147.71,144.545,147.88,147.79,147.71,144.545,147.88,2.9,0.0194,1686700800.0,0.6028,1.59,1.008796,31.194859,19.37234,216691.0,216691.0,584515.0,545070.0,545070.0,0.0,0.0,800.0,900.0,17187471360.0,131.35,183.33,2.8911772,146.6034,148.0225,2.815,0.019047298,21642909696.0,0.09329,117212487.0,117693000.0,2788894.0,2431620.0,1681430400.0,1684108800.0,0.023599999,0.0066799996,0.92928004,5.09,0.0269,0.0,16.983,8.57799,1656547200.0,1688083200.0,1680220800.0,0.124,554600000.0,4.67,7.52,1.81,,,3.641,17.208,0.02114284,0.02542901,0.725,1678752000.0,-14400000.0,145.68,183.0,140.0,164.0,165.0,2.8,7.0,332300000.0,2.817,1257699968.0,4326499840.0,1.228,1.348,5944800256.0,216.444,50.583,0.06137,0.29037002,1592200000.0,844062528.0,551500032.0,0.121,0.073,0.28287,0.21156,0.13859001,2.1138,Suite 300,
80,BRO,"Brown & Brown, Inc.",15201.0,4.0,9.0,6.0,2.0,5.0,1682899200.0,1672444800.0,86400,2.0,62.98,62.7,61.84,62.86,62.98,62.7,61.84,62.86,0.46,0.0073,1683244800.0,0.17899999,0.8,0.750175,25.557611,22.339928,217092.0,217092.0,1290141.0,1009320.0,1009320.0,0.0,63.86,800.0,800.0,17615710208.0,52.82,68.43,4.670868,61.3236,59.915,0.435,0.0069069546,21423415296.0,0.18215999,217634571.0,283644000.0,2809901.0,2469428.0,1681430400.0,1684108800.0,0.0099,0.16584,0.74794,1.68,0.0119,0.0,17.084,3.6352727,1672444800.0,1703980800.0,1680220800.0,0.069,674700032.0,2.43,2.78,1.88,2:1,1522281600.0,5.68,17.701,0.08567488,0.02542901,0.115,1683244800.0,-14400000.0,62.105,73.0,62.0,69.2,70.5,2.4,10.0,572800000.0,2.019,1210300032.0,4163500032.0,0.631,1.142,3771399936.0,85.934,13.572,0.05129,0.14967,1750000000.0,726649984.0,837600000.0,0.078,0.226,0.48852003,0.32092,0.26844,,,
81,BF.B,,,,,,,,,,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,BG,Bunge Limited Bunge Limited,23000.0,5.0,2.0,1.0,1.0,1.0,1685404800.0,1672444800.0,86400,2.0,93.94,92.87,91.7,93.51,93.94,92.87,91.7,93.51,2.65,0.028199999,1692230400.0,0.2358,3.07,0.650246,9.027474,8.118348,265155.0,265155.0,1945584.0,1319010.0,1319010.0,0.0,0.0,1100.0,1000.0,13839726592.0,80.41,118.99,0.20755439,93.1652,95.43735,2.5,0.02661273,18384011264.0,0.0233,149287565.0,150596000.0,4009876.0,5541988.0,1681430400.0,1684108800.0,0.026600001,0.0066799996,0.8782,3.93,0.035,0.0,66.109,1.3901238,1672444800.0,1703980800.0,1680220800.0,-0.081,1554000000.0,10.18,11.32,-0.97,,,0.276,6.247,-0.17668712,0.02542901,0.625,1684368000.0,-14400000.0,91.8997,161.0,105.0,125.1,126.0,1.8,10.0,3148999936.0,20.91,2943000064.0,6617999872.0,0.608,1.829,66680000512.0,61.718,442.754,0.056750003,0.16547,3918000000.0,3081874944.0,-1962000000.0,-0.074,-0.035,0.05841,0.04414,0.03802,,Chesterfield,
83,CHRW,"C.H. Robinson Worldwide, Inc.",16902.0,8.0,3.0,5.0,8.0,7.0,1682899200.0,1672444800.0,86400,2.0,97.55,97.36,95.29,97.87,97.55,97.36,95.29,97.87,2.44,0.025,1685577600.0,0.3677,2.25,0.802251,15.101426,20.27447,376298.0,376298.0,1104049.0,927410.0,927410.0,95.72,95.8,1000.0,900.0,11095472128.0,86.6,121.23,0.4933,98.1828,99.55735,2.32,0.023782674,13366605824.0,0.0349,116104663.0,116439000.0,14158249.0,14438080.0,1681430400.0,1684108800.0,0.1216,0.008640001,0.99202,11.62,0.16530001,0.0,11.864,8.031861,1672444800.0,1703980800.0,1680220800.0,-0.575,785067008.0,6.31,4.7,31.16,2:1,1129507200.0,0.594,11.284,-0.104552984,0.02542901,0.61,1677715200.0,-14400000.0,95.29,120.0,62.0,93.29,93.5,3.2,24.0,239160000.0,2.054,1184605056.0,2247156992.0,1.056,1.097,22492342272.0,162.674,183.196,0.10699,0.45159,1891731000.0,1756284160.0,1918642944.0,-0.532,-0.323,0.0758,0.052670002,0.04992,4.8237,,
84,CDNS,"Cadence Design Systems, Inc.",10200.0,3.0,8.0,9.0,1.0,7.0,1685404800.0,1672444800.0,86400,2.0,234.75,231.35,228.75,234.25,234.75,231.35,228.75,234.25,,,,0.0,,1.068261,71.540375,40.272728,733235.0,733235.0,1849533.0,2218820.0,2218820.0,229.77,230.02,800.0,1000.0,62815485952.0,138.76,239.0,17.061813,209.6454,181.51395,0.0,0.0,63773908992.0,0.23235,269932618.0,272684000.0,3751270.0,3339348.0,1681430400.0,1684108800.0,0.0138,0.00947,0.9175,2.43,0.0183,0.0,10.785,21.359295,1672444800.0,1703980800.0,1680220800.0,0.027,855420992.0,3.22,5.72,2.59,2:1,879724800.0,17.322,52.315,0.5321107,0.02542901,,,-14400000.0,230.36,248.0,210.0,229.82,232.5,1.9,14.0,916963008.0,3.363,1219026048.0,678300992.0,1.204,1.438,3681641984.0,23.064,13.612,0.14208001,0.30009001,3190095000.0,959627136.0,1172686976.0,0.047,0.133,0.89182997,0.33111,0.29535,3.2929,2655 Seely Avenue,
85,CZR,"Caesars Entertainment, Inc.",49000.0,1.0,10.0,6.0,1.0,3.0,1682899200.0,1672444800.0,86400,2.0,41.21,40.86,40.19,41.24,41.21,40.86,40.19,41.24,,,,0.0,,2.883532,,18.294117,977578.0,977578.0,2900304.0,2675950.0,2675950.0,40.36,40.39,900.0,900.0,8700697600.0,31.31,56.75,0.7659739,44.1928,45.7112,0.0,0.0,33763856384.0,-0.03125,205289709.0,215204000.0,6480612.0,6699617.0,1681430400.0,1684108800.0,0.0301,0.00449,1.0011799,2.24,0.0339,0.0,16.73,2.416617,1672444800.0,1703980800.0,1680220800.0,,-198000000.0,-0.92,2.21,4.3,,,2.972,9.052,-0.16848266,0.02542901,,,-14400000.0,40.43,111.0,39.0,70.46,70.0,2.1,13.0,965000000.0,4.484,3729999872.0,25620000768.0,0.634,0.846,11358999552.0,704.814,53.018,0.04482,-0.05587,5420000000.0,1263000064.0,1408000000.0,,0.235,0.53736997,0.32837,0.22229,,12th Floor,
